player ID, lastname, firstname, year, team id, position, g, gs, ip, tc, po, a, e, dp, tp, pb, sb attempts, cs, plays, plays_base, team_abbr, league_abbr, team_name, league_name, league_level_id, bbref_id, bbref_minor_id, roe, opp_0, made_0, opp_1, made_1, opp_2, made_2, opp_3, made_3, opp_4, made_4, opp_5, made_5, OOTP pID
672,Abbott,Jason,2024,7,1,17,0,25.1,2,2,0,0,0,0,0,1,0,0,0,PIT,NABA,Pittsburgh,North American Baseball Association,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,672
672,Abbott,Jason,2025,7,1,10,0,18.1,0,0,0,0,0,0,0,2,0,0,0,PIT,NABA,Pittsburgh,North American Baseball Association,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,672
672,Abbott,Jason,2026,7,1,16,0,25.2,7,2,4,1,0,0,0,4,1,4,4,PIT,NABA,Pittsburgh,North American Baseball Association,1,,,0,4,3,0,0,0,0,0,0,0,0,0,0,672
672,Abbott,Jason,2027,27,1,17,0,26.1,6,2,4,0,0,0,0,2,0,4,4,HAL,NABA,Halifax,North American Baseball Association,1,,,0,2,2,1,1,0,0,0,0,0,0,0,0,672
672,Abbott,Jason,2028,27,1,4,0,7.0,1,0,1,0,0,0,0,1,0,1,1,HAL,NABA,Halifax,North American Baseball Association,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,672
378,Acevedo,Julian,2022,11,1,26,0,59.1,6,2,4,0,0,0,0,7,3,4,4,COL,NABA,Columbia,North American Baseball Association,1,,,0,5,4,1,1,0,0,0,0,0,0,0,0,378
378,Acevedo,Julian,2023,11,1,25,0,60.1,8,3,4,1,0,0,0,8,2,5,5,COL,NABA,Columbia,North American Baseball Association,1,,,0,4,4,0,0,1,0,0,0,0,0,0,0,378
378,Acevedo,Julian,2024,11,1,22,0,48.1,8,3,5,0,0,0,0,1,0,5,5,COL,NABA,Columbia,North American Baseball Association,1,,,0,4,4,1,0,0,0,0,0,0,0,0,0,378
378,Acevedo,Julian,2025,11,1,23,0,44.2,4,2,1,1,0,0,0,3,1,2,2,COL,NABA,Columbia,North American Baseball Association,1,,,1,1,1,1,0,0,0,0,0,0,0,0,0,378
378,Acevedo,Julian,2026,11,1,19,0,35.2,2,2,0,0,0,0,0,1,0,0,0,COL,NABA,Columbia,North American Baseball Association,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,378
615,Ackerman,Danny,2022,3,1,25,0,28.0,5,1,2,2,0,0,0,2,1,2,2,MUS,NABA,Music City,North American Baseball Association,1,,,0,1,1,2,0,0,0,0,0,0,0,0,0,615
615,Ackerman,Danny,2023,3,1,23,0,33.2,6,2,4,0,0,0,0,1,1,4,3,MUS,NABA,Music City,North American Baseball Association,1,,,0,1,1,1,1,0,0,0,0,0,0,0,0,615
615,Ackerman,Danny,2024,6,1,14,0,21.1,6,5,1,0,0,0,0,1,0,2,2,NY,NABA,New York,North American Baseball Association,1,,,0,2,2,1,1,0,0,0,0,0,0,0,0,615
615,Ackerman,Danny,2025,6,1,14,0,19.0,1,0,1,0,0,0,0,2,1,1,1,NY,NABA,New York,North American Baseball Association,1,,,0,1,1,0,0,0,0,0,0,0,0,0,0,615
615,Ackerman,Danny,2026,20,1,16,0,26.2,3,0,3,0,0,0,0,4,3,3,3,PHO,NABA,Phoenix,North American Baseball Association,1,,,0,1,1,0,0,1,1,0,0,0,0,0,0,615
615,Ackerman,Danny,2027,27,1,19,0,26.0,4,2,2,0,0,0,0,2,1,1,1,HAL,NABA,Halifax,North American Baseball Association,1,,,0,1,1,0,0,0,0,0,0,0,0,0,0,615
615,Ackerman,Danny,2028,27,1,3,0,3.2,0,0,0,0,0,0,0,0,0,0,0,HAL,NABA,Halifax,North American Baseball Association,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,615
356,Adame,Alex,2022,14,5,75,74,661.1,187,32,151,4,9,0,0,0,0,166,162,MC,NABA,Mexico City,North American Baseball Association,1,,,4,107,103,35,29,17,11,13,7,23,4,7,0,356
356,Adame,Alex,2023,14,5,75,75,659.0,219,31,184,4,21,0,0,0,0,199,197,MC,NABA,Mexico City,North American Baseball Association,1,,,4,110,104,47,37,31,20,21,7,30,11,11,0,356
356,Adame,Alex,2024,14,5,79,77,683.1,212,37,171,4,18,0,0,0,0,185,183,MC,NABA,Mexico City,North American Baseball Association,1,,,4,111,106,42,34,24,19,15,9,13,6,19,0,356
